57,33,46
18,-73,-38
20,54,-37
99,94,4
-28,-89,45
-14,34,-53
55,35,7
-80,-33,-29
-43,-5,-98
22,38,90
36,32,8
2,99,98
-100,39,58
36,21,-53
60,8,94
-94,10,-89
64,29,-20
-34,20,-14
-19,-42,-60
79,17,-12
42,-48,-3
-4,-86,-12
-3,-2,-37
3,81,-34
-23,77,-56
47,-76,-10
-86,-86,19
75,68,3
-89,20,68
6,47,-34
-34,-71,56
-40,-48,-62
-99,36,-88
88,19,51
-96,-6,25
70,-76,-80
85,77,89
36,27,68
-14,95,20
61,-50,-26
-57,-15,-1
100,87,30
-25,35,-32
-35,25,94
89,39,99
-26,87,-22
-48,9,76
-97,30,82
-73,88,-85
-50,-42,-79
-79,100,60
-71,79,-13
-19,35,60
-29,77,31
69,57,26
96,-64,99
-98,76,-9
51,29,73
51,-92,51
-66,-3,-5
